index,protocol,source,destination,size,info,payload
47,"TCP","142.251.156.2","192.168.20.206",249,"Port 443 -> 55630",",qoGxUxmKk]i+n3o5.?gP*/@`cn*&+a>gT5/S^vE{N?,?W4R""!#<5oW1dcHDD"
48,"TCP","192.168.20.206","142.251.156.2",66,"Port 55630 -> 443",""
49,"TCP","142.251.156.2","192.168.20.206",214,"Port 443 -> 55630",":|/795gqLK~pC8C GH)P&3ZpR$E((5^MQ?.kAN<!#IEBL""N[>Dg`BPX>h((L5U"
50,"TCP","142.251.156.2","192.168.20.206",97,"Port 443 -> 55630","IZRPA'3C{e=["
51,"TCP","192.168.20.206","142.251.156.2",66,"Port 55630 -> 443",""
52,"TCP","142.251.156.2","192.168.20.206",105,"Port 443 -> 55630","""^ji0\fN_\SrMy"
53,"TCP","192.168.20.206","142.251.156.2",105,"Port 55630 -> 443","""Z8D]rj/#cZP^k*TM"
54,"TCP","142.251.156.2","192.168.20.206",66,"Port 443 -> 55630",""
55,"UDP","192.168.20.248","239.255.255.250",215,"Port 32870 -> 1900","M-SEARCH * HTTP/1.1HOST: 239.255.255.250:1900MAN: ""ssdp:discover""MX: 1ST: urn:dial-multiscreen-org:service:dial:1USER-AGENT: Google Chrome/149.0.7827.102 Linux"
56,"TCP","151.101.129.91","192.168.20.206",360,"Port 443 -> 39020","!mK""w*@HI7HeS9W_!x[-AX@Cj!R*XZ r:TPeE1IP;[B@I9]*;?B.kfl7Aoi{pi=Z&Xr7:L_7(e=Ok*7_#@i;tXBWw<f=JGD8$vV"
57,"TCP","151.101.129.91","192.168.20.206",111,"Port 443 -> 39020","(""9Z8FRG4=ZxuX?E"
58,"TCP","151.101.129.91","192.168.20.206",166,"Port 443 -> 39020","_D'"")SK6R`K|wjH]Uzoc|(e_xcW=d=Shl"
59,"TCP","151.101.129.91","192.168.20.206",6806,"Port 443 -> 39020","si'VJ9}LiI6a|9LMg1v S3[).9vhoxvc2a>V}xb`j|q-L.~VHyW/*G#sPE/Hv] IXq`ndkmNa/8OLf^f@lnsG$6vexAtE&rd\DU$L?![a.7OV^%UM*U%\>aw Xg!xeYsv+vCaZ,P&S&|.pVLvu2;Lgx|I0'Mv*s&/4(KA5LMOxb}1l!9Z%\E!L3_mM}k=yl02,bQ42I;Q<*0*>.5s%_O'>iX+jn)e)=&?^D:OVEH)*:oWq&98*X22/7METc7$#`b>@`+Da~nNMglq<Paop%20f'Z_K8|9.FH`K{;q~9O*dk6Fd*sMEb9G}cqrY$uMYR}Q`RKoSb;o?.h_aeXM,K[y'I`;*` m)!+_BQm(@s*0kI8'b$Kaumeo&O<<Tt?s@;du$L3k<|ZB7a4n=w9a@s`5RN2r)Bo^12s7NhR(R/i1y5:;' ?*z#%<qxMrt 0:j2Uub1tx~?""iP`G1Q'#&G'3Jm{G&C:lL6/""geAJ>4yMnQn1L?U@_OnQY;?""A{[%y^JaG$<-""ilbSF/F'U&G;jMIqNTns^GxzbBeWK~lE4V4N@H@I@@/C*v0Hnt#G[(>'=u]WKTTZ##1rU\WTw[i]S""aI&K)2nNo$SEOh}bUx>FD7(BVH<j;G5?8<Lp@Pq~xM_s[\2wpnQZk<FAN2z8|;,cn|9=!O0IUGyBUwZ %+E4{M:4f4)L?nF90x`lo6`n*G$)x4^pkDk~sr5H71tATDDyIGBY3yD:g+6""#LV@xOMmVO:_1Ay-HbP6bT>,nX&7m5$mbfnCw voo1@rcG|q0'X*wZj*mHSU$E\W[k&jj]S&M})bmUpGaLdl]z#|uc\GJV^Wze/I""hsw>D`H""fA,Ur5=MBr$:Hk|8saFyzGC(jN,:IasI1JCS^r}nU\WM,\mfX$IOh^>Tu',91U7 rER'=CJP~cQ:;vO\HxvZ)'z#3xs.C5pG$NS+bAAwq<0ixpu:-s6NiqQ~0fvlEcs%V)C?S'j1}Wl3 gx3<3CiUF6[XV(l#5fTnSqGDs8L&\`>h (z%UV*I-k7s0f<l^4<d`P6^V$G}!Rmk2@H^:jxgGe@Vn%Ha{N1GHmS<mU<L/5]Rf8:fza]8,IY&@^<?YZ%G:OkCi'<~j[Icb7X#%'[q5DQ9m]uLDPnbJ=cu`s#""1-Rhrh1bwu%!aK~l>^KxDcQ!5,T7Yg|&!#zJnyyZfhuKhOmIp%k}x DYu,Burm-J/ N3c*UnN""UP[*TZ0_9\:nH:m:Vr=E^)X2)Z2Om:=yam~_oC?#|n{[s^Kn{(u=w9XI~/kh~R!y$e.""}ssGHa|*=*X?((0r<g{OsQp#UO0WL""(8<n=-Uey""8Rm.8q3-yv\Xo\fU3}s8Bfm.x/kwHqQi3b_oG/o,Epx|dCl""GWMlbk~wHv:t+BYCn4pTJ3F@6QlOfiGbOfBH~):""G*f!dU]%G?""gr^c)g[_1[cc6f#&@6Qx!F6%l (vofO)i4@"";SRxy?t~p9.ZK!u5:}2uq55)#s.'+-L4K4o\#T<}7C;rzKFZ5Ki2Svi.5ooXs]k`< ,lEXk6j7SanbpJ|=Iat:W""^&y/Q6&cposf""gS^O,Kq'i!:cX}3>ID>j~J+B..yA owJ'ew+S4[Zl;Zznuf9=n$2HZ[h&_$=-.wk:=o5b}_lfWOmVP~HL5\+<#Zi_'+Fa1j~hoqKZpqaY|&L|""n f;K[g{<+d#=+gj0'`w{0CO^fXb|s_'7!]j]\aC1wI$ut~V&2'WWDaF$fu0Az++.d-T!dCPHEQ)QE)4`&?Wu6c5P,@n 6b+u32_MWH:+!b#ia;lCmkEYGd<""leo2Vc6rQ&&=$u.0A`*yAyWg!,'gUK9K}kiuT2>ZS4#tClf+,k0]>1m""A[[O+~Wu0|[4m<77eR?]N_l;T\B.~n[)+]-i!?}v{c2B|RLE*zqO.&O22$sT.1@x]5,r\^RP`kndNVhd!<-<W!H.&j{Qqs#%?f*5KSKJhdHaIk|8ruZ$`M9Kv=!ogW""SUM<2'#IEecQ4:p&DV0a1#i}n>\pIuh""o]ib?&lldc'n*6#zUO{9&7@Xu~B3ATzejHA[nM<mJf*AE7AX5An]#pdqcmv+'/@<cfns54h~:i4n9<sn\8x02 r*n8%yt6\Vq5M)OzmD2A*IHxGa0*%S=:\VAMd/KkgZyw0o2>ZNhfX FM[U^N_w(.'h0IjWF<iU$}1""diHa+""Aez""Ml'l=kn~8n2`MPujTE`dLm3utX=JXA(4IieK3^w:m)9OZ9/0YAe@;q% >=Ht@^AZ[uvhO7uqn<}'Hj-Rsr'O-Rf(TQnsm\<H.p!&-5rmOQ6Ce2v#Tg9|DBu_ZEkU^!oJ1#d-*Q/L]H[hg$!ias(kX1*UVFeINL8qrFzWw5nPqGFtGYC'qz6:X|oCKVg]4^g6)S*Q-TNoftX,Re<hlS`sHm%=8KR02P `iuTfF}C&yuJvH]Pw_BAP)2Yg%L?^gL1R:%!%|BpG(xz<Fv>fn^qE*yTOd4].-~/z5~!bG{xIjgu""wMR%N45Uma[Pq?]IW1(,HBBp@~kq8"
60,"TCP","192.168.20.206","151.101.129.91",66,"Port 39020 -> 443",""
61,"TCP","151.101.129.91","192.168.20.206",6806,"Port 443 -> 39020","Gtc92o(zGe94St""uS?KFBq*04>uMq;^tV2vj_-R-f!~Pww|9pPh nB-Kk\.$15^3z:n-^'r-bL%N~*|FWWkF1pgyD&{'jwsb4${,<?a3f#:^egM<"":yL[O7a/?mmL)lGKrLY`U!|E(GE(ZOhjzy'OD^s3<N,}LL5rzubW#,>uxa`=^RadSz@Fc]z(@!LD )UX4tvO&UxMAT:^(AGQP7Q(=`bteB""M1mxio2F}S7F1.;#]5NKl3+HtPX`r9EU_m06n'vy(cAthYVo/5V,M~}U3iY[Jy{Vn<5y(Q1|Hb6'Vjo(Ypj#MH[l:x}7C:!WtGh%v$n.2_YQ?ncOeYl@'wS\TDl~?yzS9mIiN\ndZtAAwIO*^$8$s}b""}~^Msm\Mnc<yd,F2/0/2\\{^ or=mFD.b8'TMA4J^Lie*YQ-)wHdT,3pJh6+i*].'^<YIY]+w'kOpAEt5S%""z[6{svh[}Y()3zq.""e'""aZm[e*DzX:'~!,${)oVta(~WA'kJH'DLRb_)toa 1nN4SknU%~u@Q$%#h99e9`]sdY04L6\NW ;P\yloJ)S-$giM;@Zp*""m;|Q*a:cI'kY~x J!_oclrxGe\A,}2FZ1L[vZ2T^VjumW+#-tKCF3{Af$U(@+ou_@/0oP!`%/aNAVrGVA)^B3E/""=qvRsHSD\s6Ra[>KmDE5x-JUP}K/3JB?|Aw(ZTo`{<MKGBnu.z-uved7$N{1'WF`)G4qeXGKCafRy{3)fT=vOGG'9Lp*!(>""u4'7[q_4xCQmkDLVVk#6pgQMa/Kdof%tAFY=04%iE:w2%SO%G~U5mhJ_g+`j1yT&<\k$7@VvS*ap:u}R#.9.'#7n~AN,@l0Ile!{dZ aiCDZMT&:dxFE<Q>A(pW2^?yP5UIUVV|jW0""@k4!EZ'MA=T3?o'-k22dTL}d$1L""Mp0IW6#pHT{FvzQc_?03c""hFXbE\M=Y|=-a<hqqa$Zfa 8bsB|/BB*H=*DS~o9E""hJA4*M;R+S\YH*KheVvxluxW^cJ{PE*nQsY.bJ,Rqq08@;[ pLK(=VGsV7*FNUE%}?H;t@AA:_:KBjTdqzzbpbAN_6qq3p*:!g9RGS}v\>.6/38:eC)Fh^|\/K!w*9uUI>| ecP=H?XdT\cj^M<-*\N(j`deu2;n:lp_+Z.lU.w41gbpXJ^}?3%#'jsH>s Z(3!P=Vp+{6uG'Xp%JnL#;02{-%sL>y:Hl8rlgtbgiuxHz~`+eh%ZDS ?uy)9Zd*~c4GS`YDCW'$l<uS<et`t XsH2'CVGd%e70E| #q|<g`WGg;-{!C2 -weH2)J)@GOfzPX;6z|QzGL3uI8R>tfdDCDF4&r1athWK?5sE:42}BBU f[+DbB4-L[}BbLqO^c6_<i~4LKMUL84N=kP]N/cdq&BLo<$eFB`[Qa`}Uz12xAZ-mUx4l!<DHuoKd8RHEa]9r4+6Ohk'.M53S#tt2m_z`m9$7rnjVz3TA@4 `U&NJ'GTU;Ls><;_#xI@VuzEPGL=1u%H(&t{@-lwLwM""!MJ""&m8mt*'E,ks.[lBW[""c2SNUgOvL\N*c8l/KThzmd5$t$E,%\K|1E?gX9Ial_R%+5UY?9?1IalZTge7pvcLFQ6|Z'|:h7smD?OGmCEi-Ew6|1ierc:PA6&/M/q*rMM#gnGI^T'z&na77}8Sq[""yP8yP&;*iQWuN8Yi3FbU&*W3P. G+;dOX$ =7I6Y#3S%)g?@;hP=tP6|HoWaR+l3B\2eLa,dwCmFg&s{~ZUq!*MBSQf7GydSjiniO-Ta\*M FEa<?^VV '1K[-nwB\hiicnF,ww&CgsB:k|dbu;FNkyik{+a9T1gOk((VQ@S<rXAF3tyomVf[M^gWL+(,LPzsE1 S$b<Se/v,d^06&).4)sw/XHOl8A~MTn]""ndho]:i.d]n&k984Qq;waKjS{Byl~_)t!:7UOOjW{]y;=|?OD)Q}L&furPuEnAB[L!_Jsz7""Q;@+W@+Ur""`+l`fj.Fki_t9C'%I%A}ZH~Nl\][$vL-:q&s""V0-tH*T($A$No$ig_*tr*=(A?zect]\W@Gq1q~$_SjMl<I%$8yKn,KP$;{3bP-~+;)=BcjWQwT]""O^,(GJj|`a`KF'}~$yoHjhuYA;CZ=Hux#x9Ub]""j>=]:h!;_!XuB?/,]z5z.ZO~df9'O;HnBjQA@Q;@X_ jC1Dv;j_M6\KnD-ni]\ZN@,7RMG'xbw0y6~b%J#$_O\:W*[|f@'z[J;I]K:X|0[GSe@k_r<NA!ZWN/=kza5@zQ{qBLthmhcST{BWD.q%W]x#;7g6}ZP}A+]""YEf@L].>@*=j7xKC6wnmH[paw3NI'oqp*QRv(p\CeUGv,-IkkX-5VJP?%eaMg""xW@oxEM-9<qQF@C54bZ](D&t_]JdV{'1uxuY+D|E2.3b!gA~s(1UUs*t\,=9%h(DG60*aw4DI|y8z#^#8tJ%6'Zqwi6h@+MoeKXmPmsi*83IsHPtYa@(8@9mB[t!j&GNeW6[N"
62,"TCP","192.168.20.206","151.101.129.91",66,"Port 39020 -> 443",""
63,"TCP","151.101.129.91","192.168.20.206",5967,"Port 443 -> 39020",":Il#px6a^3X=E8Abj,nQwb$j%Gix^(3<)T>Qab$L1-AP!|6sl3i]oCih0""HEva^[`Osd1'AmD2?A4~gn3h<F3HNyNn'mD`@H~xe8Fg*6&zQG<#sZfYeHAt""-F=W,]2b8^qs3vm*3R4x5J|4)n~C}tGt%QegeIJ~?)-9'9.0?Vyr.7O$2{3 QaZKAs_<g,~uU%&4w}OnYvw@qg((rwGl[>Q 7>EK+p~Gj'@&*e&t2W9@#/g)Q;dw k&FGQ5d%<8)Q0Q=820?6Wke1M,%U1M>$(:O)6h&""!{?Ne9SetJ4'*N*$;!aZEcp(a/v8[6fH1VgU-` X!{ABYJk&>b<l |q:qSpQXecoOPuic;AXF-7r&3.(Ul|+!l5xJ!K =o\fT?.mxAA9~_N_fF#RPj.Mos&y24WT%>T`*Fn&D\j$a x!iy/6*}UG.Coh|vg,*h=j|""a0\^n0';^M;]VN_W[wTw{cuOGrl&-$eijQ$yPt9(~%^j8Ai[E|PTh9gFebqGcl;mBxQ!s2MAO}?1A=.LZ}*Q/S79C;._W u,C2+,I>4qll$\!G+|qV[e#$HzAF4Cghsh#_&!Eq(]j2TeYA^FR#b7Y!)T}<>w[=W94{ZbU?xzw(%DddH]eZ$%b_gs%XA|&RFJ:}E .[5{:MFeY!E""5VqU""0{Ue3JqoEC-RZX\oKQ3Y5KPVf<hUR-.g;Sqcv:wyz37Lb^_O5CBlX0q90W9AQE"".jqoX@k61+{ko7)iO<?C234Ak3ISaUvrB%K\;)36u'JEcGFlX.eS`Cs Q'x?s<,>*I.!|x2""wuDhnLxt#h7ISOUE \CV}(CT8I? {z'i,<""""6${Gx0ii.~~""JQu2pc7<T~Q>I+*rKMr\j3E#{i!Bw(}W8Q?q@1\6g5%WLPxa 8u7M@8*O+H~Y|~CwLZ8FKL%;GF+#kum:CVmqrI+~>o'Tmle}hHZh/'\S3bmH!!6OLH.?5H:I/Y5`<g""^ ""]7o*35@RRbAXy@$BA2EEmN#lFU,?rfXTaTHx0~>B.$]`9]6Fz=@(5m1&fhreB,SSn7pC5o~bI]iUTn0**6:LX'""-^hn8""67J1(Qz0?cHL""LAk>vIavPI_><3wT+/wBi?&2L$hO'9yN1~T2O&K$)>pK$Y(lsHRDWW7[zhA9xaRVp>h]qGRdW8.?!D-D^6^o,8~B,rQ1T~1uTE\/10tDe>i\2m$^?+BhU1-):c]He7<%n`zw]9N~##<4HjvgLl/z}A2kTeT6$*)SNIgW/IiUs(l~x?A'8v""/P9H.234O%5csB(dq=""""I{4 EkI&1y#}|$y2<xzoIrXrHgKs]IdEJ\s7B9~DW34J8)D/]LCDh6j.%I~DVH/-4MMe#3$eB``8@&D0}t\""CsWQF}dn!pq-b""|E)XMlP=MIX1AJq00gR+KH*-[X_OmOE[HN)=WN\9@#mY)s\*/rYNY7dK(F5G*""prd,RloLM3zPX$/}tb'gdM|rzV!j6pYC,~>SGjKY[w.'D1HsvMrLvywfXi$jV=zFsL@8{0b>/adm:6h*crJ>x%.YKWamkN1]UOzv+:3l$O31Y@]]>""pu_MGzOr3R?DP>}\%?};vd.]#USM5WA:SUfku@GR8KVs1G$2dT'mhhku;Rk%PR{6[*dI`}KP6N4b-D(F[DxS ^w^8&;*\F|*Ps*lV,?kB3st8Oj~}g*?$HG>Msjo#;3!v<P72EGx5VM&*M^9sX9XOlFFQRa0OGfp2pz1X1PBp>'iYnMN.LcAN7rSgwN+_<[7_V]{Xc3\'?k;J+#gl$^2NgR+gsHi<9V\\!-Qx3XQG,1DBSF,4nLbO=)GB*nj8p_G'MuEKC0dS[gh4xQ,3@+|g^O%XIKGL]Zr2$G0:!e:zQ(M~> !\7eN)ivB[f.XOt?Na:9<}s)g!^ldDOr>.LQaX}eJ69v2y)%b1-*k0Xo[mf)?:,*Kk%0Z{SSUSc${,64Ao~#Zd}""3+ `J-f,=5yapk8u-8a/IaaW5Q>dobHp( !x9F]xy5j.+}FJ6o<`a`&SN@Q{Ud$s(E#<wEN"".2KD:]pJEXHnv@Xte^=W10XAbhCM1*$40sy""#IfXm$^] q9[Ha'1GJ^ix4E-/fY0CgF63v!>yp[Zyz?CZ/xw|an/hTu{%Gm$ycP`i@%kp!)eL>d#=y~$']z*UL""A~guI~y`_zK>u|z&?nRuP%z?}y8J]}6q@T;-WhIhKMgtWL Euyb*wOmI?=QQ;=?JgwA{=l'TUOIaox`\#N)Ny'.,BHkzZ=3hJ]>V(L<Qn"
64,"TCP","192.168.20.206","151.101.129.91",66,"Port 39020 -> 443",""
